Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
6039.06,1977.0,2.11,59.04,0.29,15.51,2.93,1.83,4.58,4.0,0.79,0.18,0.0,1.27,9.59,0.0,1.0
9951.7,1983.0,0.34,58.21,0.81,17.28,4.86,2.45,6.08,4.54,1.2,0.21,0.0,4.35,0.0,0.0,1.0
8319.75,1985.0,0.9,62.93,0.61,18.01,2.92,1.23,2.66,3.72,1.66,0.2,0.0,4.38,1.68,0.0,1.0
545.0,1988.0,1.18,59.39,0.84,17.09,5.31,2.98,5.8,3.12,2.26,0.3,0.0,1.16,1.75,0.0,1.0
430.63,1946.0,2.54,69.3,0.31,15.82,2.31,1.19,2.08,6.62,0.79,0.1,0.0,1.48,0.0,0.0,1.0
8590.29,1963.0,-4.91,61.05,1.07,15.96,5.07,2.81,4.59,4.19,3.28,0.5,0.0,1.49,0.0,0.0,1.0
1944.33,1966.0,3.17,63.19,0.58,15.69,7.87,2.15,3.19,2.42,2.62,0.11,0.0,2.16,0.0,0.0,1.0
9529.18,1978.0,0.11,55.89,1.02,17.42,6.84,4.02,7.3,3.85,1.74,0.43,0.0,1.49,0.0,0.0,1.0
2504.74,1980.0,0.93,57.69,0.69,16.94,5.8,3.46,7.51,2.98,2.32,0.25,0.0,1.48,0.87,0.0,1.0
7246.1,1982.0,1.92,61.01,0.21,16.06,2.47,1.52,3.73,6.75,1.06,0.08,0.0,5.14,1.97,0.0,1.0
8968.89,1991.0,3.49,57.0,0.51,12.34,4.36,1.6,4.12,4.67,1.08,0.19,0.0,1.33,12.8,0.0,1.0
3096.7,1993.0,-4.93,67.62,0.4,15.56,2.99,1.58,1.79,5.23,2.45,0.15,0.0,2.23,0.0,0.0,1.0
7592.2,1994.0,3.0,50.94,2.03,14.39,11.41,6.58,11.16,3.05,0.22,0.22,0.0,0.0,0.0,0.0,1.0
