Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
7188.75,1951.0,-1.95,53.15,0.7,15.78,8.71,6.78,12.71,1.78,0.31,0.08,0.0,0.0,0.0,0.0,1.0
5793.94,1954.0,3.49,50.51,0.31,1.42,0.0,45.62,0.51,0.26,0.79,0.06,0.0,0.0,0.52,0.0,1.0
2427.52,1960.0,3.04,54.62,1.13,13.98,5.73,5.04,8.0,2.96,3.68,0.52,0.0,4.34,0.0,0.0,1.0
5489.86,1963.0,3.81,50.16,0.67,15.8,8.05,9.61,13.82,1.87,0.01,0.01,0.0,0.0,0.0,0.0,1.0
8735.73,1973.0,4.24,51.97,0.03,3.95,0.0,38.59,3.83,0.23,0.05,0.02,0.0,1.32,0.0,0.0,1.0
9818.93,1976.0,-2.07,55.63,1.79,17.18,0.0,8.97,12.28,3.59,0.33,0.18,0.0,0.0,0.04,0.0,1.0
11060.39,1977.0,-2.96,46.5,0.02,0.98,0.0,50.81,0.64,0.04,0.22,0.36,0.0,0.0,0.43,0.0,1.0
7451.76,1982.0,-0.64,63.58,0.19,16.59,3.9,5.64,1.56,4.52,1.43,0.03,0.0,1.47,1.1,0.0,1.0
3614.49,1983.0,-2.21,40.29,0.07,0.24,8.18,50.71,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10666.25,1993.0,-1.35,50.88,0.67,10.63,8.18,18.72,6.51,2.13,0.92,0.24,0.0,1.1,0.0,0.0,1.0
2257.94,1966.0,2.22,55.81,1.11,17.82,0.0,8.84,13.48,2.83,0.09,0.02,0.0,0.0,0.0,0.0,1.0
6274.83,1971.0,-1.7,53.92,0.77,16.32,6.84,5.87,8.23,3.33,1.2,0.18,0.0,1.46,1.87,0.0,1.0
6678.72,1994.0,4.02,51.98,0.66,17.4,0.0,10.18,13.34,2.79,0.11,0.19,0.0,3.29,0.05,0.0,1.0
4378.75,1946.0,-1.02,55.23,0.58,15.89,0.0,10.64,14.79,2.82,0.0,0.05,0.0,0.0,0.0,0.0,1.0
8524.29,1949.0,-4.46,51.07,1.17,14.72,11.31,7.42,11.79,2.08,0.06,0.12,0.0,0.25,0.0,0.0,1.0
7205.33,1952.0,4.31,44.09,0.01,0.68,7.39,47.3,0.51,0.0,0.01,0.01,0.0,0.0,0.0,0.0,1.0
9613.54,1955.0,-3.74,38.41,5.12,6.47,12.18,13.95,17.37,2.13,4.35,0.0,0.0,0.0,0.0,0.0,1.0
2987.29,1957.0,-4.36,52.64,0.6,15.07,9.0,9.42,11.71,1.21,0.27,0.08,0.0,0.0,0.0,0.0,1.0
870.05,1975.0,-0.89,48.99,0.0,1.1,0.0,49.22,0.22,0.02,0.0,0.0,0.0,0.0,0.45,0.0,1.0
9377.82,1976.0,1.19,51.56,0.73,25.32,0.0,5.68,14.64,1.89,0.06,0.11,0.0,0.0,0.0,0.0,1.0
2098.11,1978.0,-3.39,53.39,0.52,16.3,7.82,7.75,12.54,1.5,0.12,0.05,0.0,0.0,0.0,0.0,1.0
596.29,1981.0,0.11,49.91,1.0,16.48,9.22,8.82,12.34,2.13,0.05,0.06,0.0,0.0,0.0,0.0,1.0
1827.29,1950.0,1.93,50.85,0.29,18.7,4.58,9.52,13.48,2.52,0.03,0.03,0.0,0.0,0.0,0.0,1.0
11197.36,1951.0,1.35,55.15,1.01,15.06,6.46,6.32,6.62,3.11,3.33,0.28,0.0,1.5,1.16,0.0,1.0
2741.5,1961.0,2.12,51.3,1.14,14.65,9.62,8.13,12.59,2.44,0.03,0.1,0.0,0.0,0.0,0.0,1.0
