Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
65 2000.00 1229.50 99.871527 48.5114 1.00778 17.558 0.887486 0.029934 7.5733 0 9.07998 0 0 12.4014 2.64143 0.0299306 0.079824 0.19956
66 2000.00 1229.60 99.914517 48.5111 1.00734 17.5649 0.887104 0.0299211 7.57004 0 9.07607 0 0 12.4031 2.64121 0.0299188 0.0797896 0.199474
67 2000.00 1229.70 99.957538 48.5108 1.00691 17.5718 0.886722 0.0299082 7.56678 0 9.07216 0 0 12.4049 2.64099 0.0299071 0.0797553 0.199388
68 2000.00 1229.80 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
69 2000.00 1229.70 99.957538 48.5108 1.00691 17.5718 0.886722 0.0299082 7.56678 0 9.07216 0 0 12.4049 2.64099 0.0299071 0.0797553 0.199388
70 2000.00 1230.10 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
71 2000.00 1229.80 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
72 2000.00 1229.90 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
73 2000.00 1227.90 99.188218 48.5159 1.01472 17.4482 0.893599 0.0301402 7.62547 0 9.14253 0 0 12.3733 2.64475 0.0301179 0.0803739 0.200935
74 2000.00 1225.90 98.344775 48.5205 1.02342 17.3112 0.901263 0.0303987 7.69087 0 9.22094 0 0 12.3389 2.64847 0.0303516 0.0810632 0.202658
75 2000.00 1223.90 96.138447 48.5747 1.04691 17.1288 0.921947 0.0310963 7.79379 0 9.17532 0 0 12.3361 2.67004 0.0309958 0.0829236 0.207309
76 2000.00 1221.90 93.729349 48.6381 1.07382 16.9379 0.945643 0.0318956 7.90318 0 9.10279 0 0 12.3427 2.69446 0.0317308 0.0850549 0.212637
77 2000.00 1219.90 91.437947 48.6988 1.10073 16.7491 0.969341 0.0326949 8.01019 0 9.03224 0 0 12.3518 2.71742 0.0324608 0.0871864 0.217966
78 2000.00 1217.91 89.256004 48.7569 1.12764 16.5625 0.993037 0.0334941 8.11483 0 8.9636 0 0 12.3633 2.73898 0.0331857 0.0893177 0.223294
79 2000.00 1215.91 86.045833 48.7726 1.16542 16.4667 1.01389 0.0347437 8.28107 0 8.85465 0 0 12.2653 2.78703 0.0343403 0.0926499 0.231625
80 2000.00 1213.91 82.604710 48.769 1.20761 16.4069 1.03397 0.0361911 8.4695 0 8.73192 0 0 12.1269 2.84451 0.0356765 0.0965095 0.241274
81 2000.00 1211.91 79.378182 48.762 1.24993 16.3479 1.05446 0.0376622 8.65478 0 8.61217 0 0 11.9922 2.90038 0.0370253 0.100432 0.251081
82 2000.00 1209.91 76.345952 48.7516 1.29236 16.2896 1.07535 0.039158 8.83695 0 8.49528 0 0 11.8612 2.9547 0.0383869 0.104421 0.261053
83 2000.00 1207.91 73.489263 48.7384 1.33489 16.2321 1.09649 0.0404027 9.01602 0 8.38102 0 0 11.7337 3.00757 0.0397623 0.10848 0.271201
84 2000.00 1205.91 70.789378 48.7242 1.37751 16.1755 1.11746 0.0405076 9.19183 0 8.26886 0 0 11.6096 3.05923 0.041154 0.112618 0.281544
85 2000.00 1203.91 68.236518 48.7071 1.42021 16.1197 1.13877 0.0405776 9.36463 0 8.15923 0 0 11.4888 3.1095 0.0425603 0.116831 0.292078
86 2000.00 1201.91 65.818535 48.6873 1.46298 16.0648 1.16043 0.0406135 9.53443 0 8.05205 0 0 11.3711 3.15843 0.0439814 0.121123 0.302808
87 2000.00 1199.91 63.524686 48.6649 1.50578 16.0106 1.18241 0.0406162 9.70125 0 7.9472 0 0 11.2565 3.20606 0.0454177 0.125497 0.313742
88 2000.00 1197.91 61.345389 48.6401 1.54861 15.9574 1.20472 0.0405862 9.86508 0 7.84461 0 0 11.1448 3.25244 0.0468694 0.129955 0.324888
89 2000.00 1195.91 59.272062 48.613 1.59142 15.905 1.22733 0.0405241 10.0259 0 7.74419 0 0 11.0359 3.29761 0.048337 0.134501 0.336252
90 2000.00 1193.92 57.296996 48.5839 1.63418 15.8535 1.25024 0.0404301 10.1837 0 7.64583 0 0 10.9298 3.34162 0.0498207 0.139137 0.347843
91 2000.00 1191.92 55.413239 48.5529 1.67686 15.803 1.27342 0.0403045 10.3385 0 7.54947 0 0 10.8262 3.38452 0.0513207 0.143867 0.359668
92 2000.00 1189.92 53.614501 48.5203 1.71941 15.7534 1.29688 0.0401471 10.4902 0 7.45499 0 0 10.7251 3.42634 0.0528374 0.148694 0.371734
93 2000.00 1187.92 51.895072 48.4862 1.7618 15.7049 1.32059 0.039958 10.6387 0 7.36233 0 0 10.6263 3.46714 0.0543711 0.15362 0.384051
94 2000.00 1185.92 50.249757 48.4508 1.80396 15.6574 1.34453 0.0397367 10.7841 0 7.2714 0 0 10.5299 3.50697 0.0559222 0.15865 0.396626
95 2000.00 1183.92 48.673809 48.4144 1.84586 15.6111 1.36869 0.039483 10.9262 0 7.1821 0 0 10.4355 3.54586 0.0574909 0.163787 0.409468
96 2000.00 1181.92 47.162884 48.3772 1.88742 15.5658 1.39305 0.0391962 11.0651 0 7.09435 0 0 10.3433 3.58389 0.0590777 0.169034 0.422586
97 2000.00 1179.92 45.712989 48.3395 1.92858 15.5218 1.41758 0.0388755 11.2005 0 7.00807 0 0 10.2529 3.62108 0.060683 0.174396 0.435989
98 2000.00 1177.92 44.320451 48.3015 1.96928 15.479 1.44225 0.0385202 11.3325 0 6.92318 0 0 10.1645 3.65751 0.0623073 0.179875 0.449688
99 2000.00 1175.92 42.981878 48.2634 2.00944 15.4374 1.46705 0.0381292 11.4609 0 6.83958 0 0 10.0777 3.69322 0.063951 0.185477 0.463692
100 2000.00 1173.92 41.694130 48.2256 2.04899 15.3973 1.49194 0.0377012 11.5856 0 6.75719 0 0 9.9926 3.72827 0.0656149 0.191205 0.478013
101 2000.00 1171.93 40.454296 48.1883 2.08784 15.3585 1.51689 0.037235 11.7065 0 6.67594 0 0 9.90902 3.76272 0.0672995 0.197065 0.492663
102 2000.00 1169.93 39.259665 48.1519 2.12589 15.3211 1.54185 0.036729 11.8235 0 6.59572 0 0 9.82687 3.79662 0.0690056 0.203062 0.507655
103 2000.00 1167.93 38.107714 48.1167 2.16305 15.2853 1.56679 0.0361816 11.9364 0 6.51645 0 0 9.74607 3.83006 0.0707341 0.2092 0.523001
104 2000.00 1165.93 36.996081 48.0829 2.19921 15.2511 1.59166 0.0355911 12.0451 0 6.43806 0 0 9.66651 3.86309 0.0724859 0.215486 0.538715
105 2000.00 1163.93 35.922553 48.051 2.23427 15.2186 1.6164 0.0349555 12.1494 0 6.36044 0 0 9.5881 3.89579 0.0742622 0.221926 0.554815
106 2000.00 1161.93 34.885049 48.0213 2.2681 15.1879 1.64095 0.0342728 12.2491 0 6.2835 0 0 9.51074 3.92823 0.0760642 0.228526 0.571315
107 2000.00 1159.93 33.881604 47.9942 2.30057 15.159 1.66525 0.0335408 12.344 0 6.20716 0 0 9.43435 3.9605 0.0778933 0.235294 0.588235
108 2000.00 1157.93 32.910356 47.9701 2.33154 15.132 1.68922 0.0327573 12.4339 0 6.13131 0 0 9.35883 3.99269 0.0797512 0.242238 0.605595
109 2000.00 1155.93 31.969532 47.9496 2.36086 15.1071 1.71276 0.0319198 12.5185 0 6.05587 0 0 9.28409 4.02488 0.0816397 0.249367 0.623417
110 2000.00 1153.93 31.057432 47.933 2.38836 15.0843 1.73578 0.0310259 12.5976 0 5.98072 0 0 9.21005 4.05719 0.0835611 0.25669 0.641726
111 2000.00 1151.93 30.172416 47.9209 2.41386 15.0639 1.75815 0.030073 12.6708 0 5.90576 0 0 9.13661 4.08973 0.0855179 0.26422 0.660549
112 2000.00 1149.93 29.312891 47.9138 2.43718 15.0458 1.77975 0.0290587 12.7377 0 5.83088 0 0 9.0637 4.12263 0.0875131 0.271967 0.679918
113 2000.00 1147.94 28.477306 47.9124 2.45808 15.0304 1.80043 0.0279808 12.7981 0 5.75596 0 0 8.99122 4.15602 0.0895499 0.279947 0.699868
114 2000.00 1145.94 27.664148 47.9174 2.47634 15.0177 1.82 0.0268373 12.8514 0 5.68087 0 0 8.9191 4.19006 0.0916325 0.288176 0.72044
115 2000.00 1143.94 26.871954 47.9295 2.49169 15.008 1.83827 0.0256275 12.8971 0 5.60548 0 0 8.84725 4.22492 0.0937653 0.296671 0.741679
116 2000.00 1141.94 26.099344 47.9494 2.50389 15.0014 1.85503 0.0243521 12.9348 0 5.52968 0 0 8.7756 4.26079 0.0959532 0.305454 0.763634
117 2000.00 1139.94 25.345058 47.9779 2.51267 14.9982 1.87005 0.0230142 12.9638 0 5.45333 0 0 8.70408 4.29784 0.0982016 0.314544 0.786361
118 2000.00 1137.94 24.608002 48.0157 2.51779 14.9985 1.88311 0.0216203 12.9836 0 5.37635 0 0 8.63265 4.33626 0.100516 0.323965 0.809914
